text,actual
this web site sucks my fucking dick. it sucks balls(they add the 280 characters) you blew it. this website sucks shit now,0
SwissIOCForever thanks for showing me this robots dick,1
i miss 100% of the shots i dont take mother fucker,0
politifact: subtler! shittier! deadlier! wisler! bienvenu! armenian! droppin it to the oj!,1
i just put oat milk in my oatmeal this simulation is getting crazy,0
back off troll. im telling a joke. (rat balls fly out of asshole) now who wants to help me dispose of rat shit,1
mobilepro_ I Apologize sir. Im a fucking idiot.  I will Try to make them good,0
unfollow if youre a fat ass dog turd with lazy eyes and no backbone#FwdMyFallsInAnOTHERWorldishTerrificBringYourDoggs,1
(contorting entire face into an abominable purple frown) cobb salad?? that sounds fuckin STUPID,0
"I dreamt about airplane fuel in the 80's, where the fuel was liquid &amp; discretely dispensed into your dick",1
